taxonomy,code,name,stratum,label_A,label_B,note_A,note_B,adjudicated,adjudication_note
us-gaap,DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,"Disposal Group, Including Discontinued Operation, Depreciation and Amortization",tail/unseen,expense.depreciation,,D&A expense scoped to a disposal group,"discontinued-operation disclosure, segregated from continuing D&A",,"IFRS 5 / ASC 205-20 present held-for-sale and discontinued-operation amounts SEPARATELY from their original class, so the tag does not denote the original node's balance. Ruled with B."
us-gaap,DisposalGroupIncludingDiscontinuedOperationIntangibleAssets,"Disposal Group, Including Discontinued Operation, Intangible Assets",tail/unseen,asset.noncurrent.intangibles,,intangibles scoped to a disposal group,"held-for-sale disposal group, reclassified out of intangibles",,"IFRS 5 / ASC 205-20 present held-for-sale and discontinued-operation amounts SEPARATELY from their original class, so the tag does not denote the original node's balance. Ruled with B."
us-gaap,DisposalGroupIncludingDiscontinuedOperationInterestIncome,"Disposal Group, Including Discontinued Operation, Interest Income",tail/unseen,revenue.other,,interest income scoped to a disposal group,discontinued-operation disclosure; no node,,"IFRS 5 / ASC 205-20 present held-for-sale and discontinued-operation amounts SEPARATELY from their original class, so the tag does not denote the original node's balance. Ruled with B."
us-gaap,GoodwillRecognisedAsOfAcquisitionDate,Goodwill recognised as of acquisition date,tail/unseen,asset.noncurrent.goodwill,,goodwill recognised in the combination,"acquisition-date movement, not the goodwill balance (R1)",,"Purchase-price-allocation disclosure: an amount recognised AT the acquisition date, i.e. a transaction event, not a period-end ledger balance. A balance is an account, a movement is not. Ruled with B."
us-gaap,HeldToMaturitySecurities,"Debt Securities, Held-to-Maturity, Amortized Cost, before Allowance for Credit Loss",tail/seen,asset.noncurrent.investments,,HTM debt securities held as long-term investments,HTM portfolio spans current+non-current; not equity-method investment,,"The node's declared anchor is ifrs-full:InvestmentsAccountedForUsingEquityMethod; HTM debt securities are a different asset class and the tag asserts no non-current classification. Recorded defect: the node's label_en ('Long-term Investments') is much broader than its own ifrs_tag, and under the broad reading this WOULD map -- a third ontology inconsistency, and the direct cause of this disagreement. Ruled with B."
us-gaap,IncentiveFeeExpenseIncomeBased,"Incentive Fee Expense, Income-Based",tail/seen,,expense.admin,fund adviser incentive fee; no core leaf,external management fee = administrative expense (R2),expense.admin,"P5: the ontology's own aggregation rule is `ebit = gross_profit - expense.admin`, making expense.admin the SOLE operating-expense deduction -- so within this ontology it denotes operating expense other than COGS/D&A/interest/tax, not narrow G&A. Labeling the largest US opex line as having no Kontablo representation would contradict the ontology's own EBIT rule. Recorded defect: the node's ifrs_tag (AdministrativeExpenses) and its aggregation role disagree, and that ambiguity -- not labeler error -- produced this disagreement. An external adviser/management fee is an operating expense of the fund. Ruled with B here, and with A on SG&A -- the same principle cuts both ways, which is why it is stated as a rule rather than applied ad hoc."
us-gaap,InterestIncomeOperatingPaidInCash,"Interest Income, Operating, Paid in Cash",mid/seen,revenue.other,,interest income; no interest-income leaf so other income,"cash-basis measure, not accrual income (R1)",,"A cash-basis measure ('Paid in Cash') is a cash-flow disclosure, not an accrual income account. Ruled with B."
us-gaap,LimitedPartnersCapitalAccount,Limited Partners' Capital Account,mid/seen,equity.capital,,partners contributed capital balance,commingles contributions and accumulated earnings (R2),,"An LP capital account commingles contributed capital with allocated profits less distributions, spanning equity.capital AND equity.retained. No single leaf denotes it. Ruled with B."
us-gaap,LossContingencyAccrualCarryingValueNoncurrent,"Loss Contingency, Accrual, Noncurrent",tail/seen,liability.current.accrued,,"R3 tier: provision/accrual concept, noncurrent portion",non-current provision; accrued node is current only,,"P1: the tag explicitly asserts the opposite balance-sheet tier from the only candidate node. Kontablo encodes the tier in the node id and derives working capital from it, so mapping across the split would corrupt current/non-current subtotals silently -- the class of error H4 exists to catch. Documented core gap: no node for this tier of this concept. Ruled with B."
us-gaap,NoncurrentPayables,Trade and other non-current payables,tail/seen,liability.current.payables,,"R3 tier: trade/other payables concept, noncurrent portion",non-current payables; payables node is current only,,"P1: the tag explicitly asserts the opposite balance-sheet tier from the only candidate node. Kontablo encodes the tier in the node id and derives working capital from it, so mapping across the split would corrupt current/non-current subtotals silently -- the class of error H4 exists to catch. Documented core gap: no node for this tier of this concept. Ruled with B."
us-gaap,OperatingLeaseLiabilityCurrent,"Operating Lease, Liability, Current",head/seen,liability.noncurrent.lease,,R3 tier: current portion of the lease liability concept,current portion; lease node is explicitly non-current,,"P1: the tag explicitly asserts the opposite balance-sheet tier from the only candidate node. Kontablo encodes the tier in the node id and derives working capital from it, so mapping across the split would corrupt current/non-current subtotals silently -- the class of error H4 exists to catch. Documented core gap: no node for this tier of this concept. Ruled with B. Note: liability.noncurrent.lease's own note claims the balance is 'split between current portion and non-current', which conflicts with its non-current node id -- a second recorded ontology inconsistency."
us-gaap,OtherComprehensiveIncomeLossBeforeTax,"Other Comprehensive Income (Loss), before Tax",mid/seen,,AGGREGATE:income,R4 OCI has no core leaf,OCI subtotal,,"P4: OCI is a subtotal of components (translation, hedging, remeasurement) for which the 30-leaf core has NO leaves, so Kontablo cannot recompute it and it is not an aggregate. Distinct from the AOCI *balance*, which both labelers mapped to equity.reserves; this is the period movement. Ruled with A."
us-gaap,OtherComprehensiveIncomeLossNetOfTax,"Other Comprehensive Income (Loss), Net of Tax",head/seen,,AGGREGATE:income,R4 OCI has no core leaf,OCI subtotal,,"P4: OCI is a subtotal of components (translation, hedging, remeasurement) for which the 30-leaf core has NO leaves, so Kontablo cannot recompute it and it is not an aggregate. Distinct from the AOCI *balance*, which both labelers mapped to equity.reserves; this is the period movement. Ruled with A."
us-gaap,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"Other Comprehensive Income (Loss), Net of Tax, Portion Attributable to Parent",head/seen,,AGGREGATE:income,R4 OCI has no core leaf,OCI subtotal,,"P4: OCI is a subtotal of components (translation, hedging, remeasurement) for which the 30-leaf core has NO leaves, so Kontablo cannot recompute it and it is not an aggregate. Distinct from the AOCI *balance*, which both labelers mapped to equity.reserves; this is the period movement. Ruled with A."
us-gaap,PrepaidExpenseAndOtherAssetsCurrent,"Prepaid Expense and Other Assets, Current",head/seen,asset.current.prepaid,,prepaid dominant in composite line,combined prepaid + other; spills outside CurrentPrepayments (R2),,P3: a combined caption whose contents provably extend beyond the node's boundary does not denote the node; the excess has no leaf. Ruled with B.
us-gaap,PrepaidTaxes,Prepaid Taxes,mid/seen,asset.current.prepaid,,tax paid in advance is a prepayment,advance tax; ontology puts this in extended_core withholding_tax (R4),,"The ontology models advance/withheld tax explicitly as the extended_core node asset.current.withholding_tax, which is OUTSIDE this study's 30-leaf vocabulary. Mapping it to asset.current.prepaid would contradict the ontology's own placement. Ruled with B."
us-gaap,PropertyPlantAndEquipmentGross,"Property, Plant and Equipment, Gross",mid/seen,asset.noncurrent.ppe,,PPE at cost before contra,cost measure; node is carrying amount and Net already maps (R3),,"The node is a CARRYING-AMOUNT concept (ifrs_tag PropertyPlantAndEquipment / TradeAndOtherCurrentReceivables) and the net variant already maps to it. Kontablo's core has no contra-asset leaf, so a gross measure has no partner account; mapping both gross and net to one leaf would double-count the same asset. Documented core gap: no contra-asset representation. Ruled with B."
us-gaap,SalariesWagesAndOfficersCompensation,"Salary and Wage, Excluding Cost of Good and Service Sold",tail/seen,expense.admin,,opex personnel cost incl officer compensation,no payroll-EXPENSE node in the core; spans admin+selling,expense.admin,"P5: the ontology's own aggregation rule is `ebit = gross_profit - expense.admin`, making expense.admin the SOLE operating-expense deduction -- so within this ontology it denotes operating expense other than COGS/D&A/interest/tax, not narrow G&A. Labeling the largest US opex line as having no Kontablo representation would contradict the ontology's own EBIT rule. Recorded defect: the node's ifrs_tag (AdministrativeExpenses) and its aggregation role disagree, and that ambiguity -- not labeler error -- produced this disagreement. Salaries explicitly excluding cost of goods sold are operating expense by elimination; the core has a payroll LIABILITY node (extended_core) but no payroll-expense node."
us-gaap,SecuredDemandNotes,Secured Demand Notes,tail/unseen,liability.current.short_term_debt,,demand notes are short-term borrowings,"broker-dealer instrument, direction/term ambiguous; no node satisfied",,"In the broker-dealer context where this element is used, a secured demand note can sit on either side of the balance sheet depending on the collateral agreement. A gold label must not guess the sign. Ruled with B."
us-gaap,SelfInsuranceReserve,Self Insurance Reserve,tail/seen,liability.current.accrued,,accrued self-insurance provision,self-insurance provision spanning current+non-current,liability.current.accrued,"P2: the tag states no tier and the core offers exactly ONE accrual/provision leaf, so there is nothing to coin-flip between -- unlike SubordinatedDebt/UnsecuredDebt below, where two tier-specific debt leaves compete. Ruled with A."
us-gaap,SellingGeneralAndAdministrativeExpense,"Selling, general and administrative expense",head/seen,expense.admin,,SG&A category,combined selling+G&A; selling portion has no node (R2),expense.admin,"P5: the ontology's own aggregation rule is `ebit = gross_profit - expense.admin`, making expense.admin the SOLE operating-expense deduction -- so within this ontology it denotes operating expense other than COGS/D&A/interest/tax, not narrow G&A. Labeling the largest US opex line as having no Kontablo representation would contradict the ontology's own EBIT rule. Recorded defect: the node's ifrs_tag (AdministrativeExpenses) and its aggregation role disagree, and that ambiguity -- not labeler error -- produced this disagreement."
us-gaap,SubordinatedDebt,Subordinated Debt,mid/seen,liability.noncurrent.debt,,long-term subordinated borrowings,spans current+non-current debt; no stated split,,P2: the element states no tier and the core offers TWO competing leaves (liability.current.short_term_debt and liability.noncurrent.debt). The correct leaf is undetermined from the tag alone; choosing one would be a coin flip dressed as determinism (principle #5). Ruled with B.
us-gaap,UnsecuredDebt,Unsecured Debt,mid/seen,liability.noncurrent.debt,,unsecured borrowings balance,spans current+non-current debt; no stated split,,"P2: same as SubordinatedDebt -- two competing tier-specific debt leaves, no tier asserted by the tag, so the correct leaf is undetermined. Ruled with B."
